VehicleID,LicenseNumber
LYCULCMQJAPVQSG3,PX611869
FX51VJJK6KRQJFRK,FC163963
XOWMVDLE08E4F229,KS172127
9PXU9KI2QCHUHX6B,OH542534
TVA0RTDFGCIPAOF1,LB557825
7S8X0TXFH7SS33I0,FA130758
796KJ7RO21RF0B2D,KD298357
GMDNKDNR437QFLFB,RI858341
42PK9OH28ZGWD9YQ,UJ269636
Z2WXMGCKZVN5WA6F,SU066707
V1LHYJA2AX1HQVNT,DX812635
VVH09502TIWX9U1A,LO773264
5XZZKWA7G8PCXFLI,YK925332
PL6TCW074UXBAWAS,GV634831
NRRKJ6ACX8E4RX8V,SL822949
7LYKNA6IJ0AA40N3,OV506649
4IQ9JSBC3QC4G9BW,SJ348212
P0Q73K2I8P4HZ4GG,VD277472
2MG381D11SSWTPH4,VS088681
4H699HN85M6P4KAI,SE581666
O5S7548AOZDQXR39,JA148372
XQ6IM6SGYAF1L5O8,BB041378
S0CG6084LDCOFQRP,MN625209
TVYM8F5E17YYQXM2,NF356033
9QFPNVLH4B2538WS,GO775633
E95B1PK35X81GV3P,KK336834
B9YCVIDHGITZ2SE6,KC013348
8YA8ENZBP2OYUOT0,IQ155236
XWBXM6P123H70YEI,GP031303
2CT9SYBA6BE24K0F,MV983398
H1F0Z7JST1WXJOGY,KP789273
2GO4876UERHVTXDP,AT546375
BCW6OT9YW849TYCF,RS590575
098IOJ2X3148BE21,TW917142
GCJQL5C88SD52TCY,UB765160
IKJRAN2FFAL5KQX1,WU229291
5L46ZN9CK0KK4NFT,OW268903
S2WK0FTVL7BFW73J,GW166844
3U1KL7YEM4AG6HNT,BA573109
2M5X58BVMXIOIFA3,IJ065706
PV6PN72OY7W1Z7TF,HD986676
YTB7FEJBQCPM5UYJ,GU051391
CTO7HV91LICTAUWG,GI290305
ZRQY9HA750SKM0HT,BF481452
DERV6FO2FF9J1904,CK511633
IZX71R1R0MOLQKBW,JW669946
RN1M5QWUNXIK0US3,WH886511
QHCA3JA8VG5LCKCJ,JW421565
6W7O7U9B2AKZKHHK,DP508405
89QY0XK816J5DHN8,IZ880366
