SSN,PoliceID
104-87-2641,JM0SKKUFYZ
879-96-6137,84F8H6AM4B
454-92-7148,RL9CP90PT4
345-01-1185,IPHTBM6MZO
627-21-7304,74U13YP9M4
449-61-4617,181X5TO5QR
765-59-8215,AQA3J1W4NC
816-18-0292,LDB3DR9G79
214-78-1662,L0897CKBCN
747-80-3986,LYPA6Z9J9F
329-19-4880,5S0PQICAE0
617-64-5766,YXB81QVQJI
419-13-0741,EIEPDW45E1
329-69-8155,9GGQC3UTUF
208-99-9026,NP2BYMG1B4
283-15-8385,5PE0KP79C3
494-29-7818,5PE0KP79C3
611-42-4615,4B1432B6K2
331-10-2246,KR10NXQ0BA
869-46-0563,VSG7908MID
241-88-1114,H99IX9OE00
438-98-8600,FITV3ODR6A
377-35-2282,SWKO54KF01
199-53-4767,60B52I6I66
165-97-4688,B4M2GI9WS0
567-26-2133,V4VEJZVQYT
279-44-4147,AB2F72GVY9
505-10-6761,V4VEJZVQYT
731-51-4977,QY58PDNFZK
420-55-6463,PUJ9223KZ6
