SSN,ViolationID,PoliceID
708-70-9093,VC100,CO0NXL95X1
751-36-2093,VC110,40A3ZYU418
648-09-1136,VC120,S3XM5LO6E3
260-86-9283,VC140,5ROA8GFSDW
742-95-5441,VC150,1U9V9XZOP4
718-58-8853,VC160,X37WU2YBK3
730-16-0302,VC170,I4D7BQW3Z1
849-08-2631,VC180,X7XBTJOY63
804-47-0437,VC190,UXXYXE9MA8
850-57-2134,VC200,X7XBTJOY63
558-71-4568,VC210,B6SH8IC6B5
286-15-8767,VC220,B4M2GI9WS0
556-47-1190,VC230,IOHCCYZWQ2
765-52-2647,VC240,EVVQCQSLS9
435-90-2115,VC250,IPHTBM6MZO
818-87-8023,VC260,SKYY7T5KXK
704-97-1250,VC270,9E86PETM5G
853-59-9424,VC280,LYWWTI25RN
704-30-1762,VC290,IPU8MD2ATS
460-60-7762,VC300,X37WU2YBK3
201-68-6663,VC310,GRG7VCYZ2S
346-48-0277,VC320,PUJ9223KZ6
421-87-0403,VC330,4B1432B6K2
311-94-3004,VC340,P97186QPVV
694-09-0410,VC350,G8STP5H1TM
782-03-0779,VC360,A7JOZF5V76
362-14-5605,VC370,O9CTKKFO4Y
761-14-3102,VC380,LHK990WXKO
888-21-5513,VC390,1U9V9XZOP4
720-98-5351,VC400,M0UQYFIQS7
643-94-0728,VC410,9TWC4OC1PY
158-95-5245,VC420,2QVILUAX6G
871-54-1932,VC430,10SA42IX6Q
739-96-6235,VC440,KR10NXQ0BA
710-95-7442,VC450,W0MGTVMSR2
560-59-2556,VC460,L034PEBZO2
175-22-8284,VC470,250NBS5SE5
895-99-9298,VC480,C94VN65H0F
509-19-5659,VC490,R9BY05WQUE
379-42-0721,VC500,FBWC4Y438G
328-53-0971,VC510,R75FO3IS7X
750-50-6538,VC530,D686FWU8KZ
288-27-3241,VC540,URD7U3MS1N
669-45-1138,VC550,WH58W2T42Q
840-59-7747,VC560,381NPE30CV
529-64-0831,VC580,J88J8XTS1E
876-54-0999,VC590,3MS3O4L6O4
513-26-8779,VC600,HUOZ3YCBJJ
458-65-4418,VC610,8JD89SDG89
265-63-5591,VC620,9GGQC3UTUF
785-28-3036,VC630,9JS8LOK3HU
490-64-1572,VC640,UE9PC3WOKF
198-69-7155,VC650,6GP6PJE67V
445-17-4396,VC660,XB9BL54K84
444-89-3133,VC670,SWKO54KF01
541-32-8275,VC680,5HIYD1E14A
549-82-5881,VC690,3L3H50GUUC
845-96-9071,VC700,10SA42IX6Q
191-80-6092,VC710,EDQ51SJ5V0
855-07-8604,VC720,250NBS5SE5
848-03-2404,VC730,3S373Z0TZV
383-05-5258,VC740,B8X9GNTB9W
175-98-4997,VC750,54N1WTDGGM
372-47-4961,VC760,40A3ZYU418
715-78-5242,VC770,QF4G86SUS1
444-56-3273,VC780,O9CTKKFO4Y
520-84-7646,VC790,GRG7VCYZ2S
489-78-3872,VC800,181X5TO5QR
617-31-7915,VC810,EDQ51SJ5V0
587-44-3122,VC820,L0897CKBCN
806-25-6121,VC830,RUOC1XWCD8
585-61-2947,VC840,HTL25TB9T7
839-90-6855,VC850,5576BL9R1Q
325-80-2271,VC860,L0897CKBCN
612-73-7162,VC870,X8PN979AAR
391-10-1836,VC880,J88J8XTS1E
846-27-4393,VC890,CO0NXL95X1
565-61-8671,VC900,R75FO3IS7X
808-78-6097,VC910,5HIYD1E14A
854-52-0759,VC920,SKYY7T5KXK
538-42-7200,VC930,M0UQYFIQS7
847-93-1196,VC940,G0HU7WWC53
201-40-2404,VC950,1U9V9XZOP4
479-01-2800,VC960,34LKRPSB8A
174-17-7928,VC970,S3XM5LO6E3
803-95-2398,VC980,URD7U3MS1N
471-49-3469,VC990,QPDSKMPGXZ
192-58-8876,VC1000,5576BL9R1Q
222-34-7639,VC1010,UD0E0LMHVR
343-37-2188,VC1020,8379NU0FIW
613-79-0973,VC1030,I5175NK7W2
106-60-4736,VC1040,54N1WTDGGM
619-79-4817,VC1050,NWGZS8XCUH
454-91-3560,VC1060,W0MGTVMSR2
882-17-5442,VC1070,D686FWU8KZ
204-34-5573,VC1080,DCWK379S1C
738-58-5447,VC1090,OMW260HEXO
748-18-9435,VC1100,1ULILB2JC4
208-65-7234,VC1110,D686FWU8KZ
865-56-6898,VC1120,YJQ4GOB6RU
457-28-9487,VC1140,MD1IDRSZ63
275-79-2039,VC1150,KV8JE11Z6D
303-30-8060,VC1160,9E86PETM5G
782-48-7494,VC1170,5S0PQICAE0
181-08-1237,VC1180,NP2BYMG1B4
426-92-2325,VC1190,7NC8NROCZ2
785-01-0106,VC1200,1U9V9XZOP4
849-27-4197,VC1210,634NLR66HT
471-93-5518,VC1220,M0UQYFIQS7
740-18-5756,VC1240,K1B7NJ0OB0
742-05-7779,VC1250,EVVQCQSLS9
331-73-9444,VC1260,LYPA6Z9J9F
712-22-6362,VC1270,634NLR66HT
282-44-5148,VC1280,KR10NXQ0BA
549-64-7348,VC1290,34LKRPSB8A
336-47-0592,VC1300,I4D7BQW3Z1
656-39-9418,VC1310,5ROA8GFSDW
213-64-2851,VC1320,EVXL9RR9T8
219-59-0198,VC1330,U7MTJVBX0E
700-02-0773,VC1340,9GGQC3UTUF
441-25-3372,VC1350,HTL25TB9T7
