ViolationID,LicenseNumber,DescriptionID,ViolationState,Paid,ViolationDate
VC100,KC013348,D1100,NE,Yes,21-02-2023
VC110,RL968139,D1600,WI,Yes,04-03-2023
VC120,TA942711,D1200,CT,Yes,28-04-2023
VC130,TW039515,D1400,GA,Yes,04-10-2022
VC140,HQ007281,D1700,MT,Yes,16-10-2022
VC150,LG442192,D1900,AZ,Yes,24-08-2022
VC160,TY377572,D1200,MD,No,15-11-2022
VC170,OL461986,D1800,KS,No,22-12-2022
VC180,GH157611,D1900,SC,No,29-01-2023
VC190,RG304768,D1700,GA,Yes,24-02-2023
VC200,DX812635,D1900,MN,No,21-01-2023
VC210,RV066885,D1500,NC,Yes,19-04-2023
VC220,GW166844,D1000,NJ,No,30-03-2023
VC230,FC163963,D1600,IL,Yes,17-12-2022
VC240,UT048764,D1800,FL,No,12-02-2023
VC250,HK756757,D1900,RI,No,19-04-2023
VC260,BX035964,D1100,MI,No,25-12-2022
VC270,LE555585,D1800,TX,Yes,31-03-2023
VC280,SC258799,D1600,OR,No,08-09-2022
VC290,TK987812,D1700,MS,No,23-04-2023
VC300,CT001751,D1400,LA,No,05-04-2023
VC310,UH112927,D1100,NE,No,16-09-2022
VC320,HD986676,D1500,ID,Yes,31-05-2023
VC330,YX675606,D1300,HI,Yes,17-03-2023
VC340,JW421565,D1000,WV,Yes,25-06-2022
VC350,VW318154,D1600,NV,No,17-01-2023
VC360,YL231356,D1500,MA,Yes,16-11-2022
VC370,OM157624,D1000,MI,No,03-01-2023
VC380,QQ289416,D1600,CA,No,11-08-2022
VC390,GP031303,D1800,MN,Yes,10-04-2023
VC400,MK577339,D1000,MO,No,12-02-2023
VC410,IJ065706,D1900,IN,Yes,21-10-2022
VC420,OM157624,D1600,MN,No,14-03-2023
VC430,RA168169,D1300,MS,No,01-09-2022
VC440,GP031303,D1500,UT,No,01-06-2023
VC450,OS655539,D1300,MD,No,23-10-2022
VC460,WU229291,D1900,MO,Yes,16-12-2022
VC470,KS172127,D1300,DC,No,14-03-2023
VC480,WT653441,D1700,DC,No,04-07-2022
VC490,KD298357,D2000,MI,No,22-06-2022
VC500,RL968139,D1600,AL,No,07-05-2023
VC510,DP508405,D1500,NJ,No,04-07-2022
VC520,JC637716,D1700,KY,Yes,30-12-2022
VC530,TA942711,D1300,NC,Yes,15-01-2023
VC540,GI290305,D1400,WY,No,09-12-2022
VC550,IU246182,D1700,WV,Yes,14-03-2023
VC560,GN674768,D1100,CT,No,22-04-2023
VC570,TW039515,D1500,NC,Yes,01-04-2023
VC580,JD818843,D1500,CT,No,25-09-2022
VC590,BU064838,D1400,WY,No,30-09-2022
VC600,QL724529,D1400,DC,No,15-07-2022
VC610,JD818843,D1700,IA,No,20-06-2022
VC620,WU229291,D1900,MN,Yes,25-09-2022
VC630,LE555585,D1700,IA,No,14-03-2023
VC640,OH542534,D1200,WI,Yes,14-02-2023
VC650,HD986676,D1300,DE,Yes,17-01-2023
VC660,VS088681,D1700,IL,No,05-04-2023
VC670,DX812635,D1600,SD,Yes,11-10-2022
VC680,UJ848882,D1600,DC,Yes,26-10-2022
VC690,XN923065,D1600,IA,Yes,11-11-2022
VC700,RI858341,D1600,TN,Yes,16-09-2022
VC710,OM157624,D1000,MO,No,11-06-2023
VC720,JA148372,D1300,MO,Yes,23-10-2022
VC730,IL567353,D1700,WV,Yes,07-05-2023
VC740,QQ330443,D1400,GA,Yes,14-03-2023
VC750,MO164352,D1100,AL,No,01-04-2023
